state,range,canyon or area,point,num_samples_BRTE,BRTEcount,mtype,year,elevation,burned,firstGS,num_samples_grass&forb,igrass,grasscvr,iforb,forbcvr,wtprecip,spprecip,UTMx (NAD83 zone 11),UTMy (NAD83 zone 11),grazed.1,prop_grazed
Nevada,Monitor,Allison,AL14,10,0,point,2015,2285,0,NA,,,,,,68,102,544647,4347369,,
Nevada,Monitor,Allison,AL15,10,0,point,2015,2325,0,NA,,,,,,79,108,545072,4348363,,
Nevada,Monitor,Allison,AL16,10,0,point,2015,2394,0,NA,,,,,,79,108,545895,4349257,,
Nevada,Monitor,Allison,AL17,10,0,point,2015,2487,0,NA,,,,,,79,108,547012,4351091,,
Nevada,Monitor,Allison,AL18,10,0,point,2015,2397,0,NA,,,,,,79,108,547741,4351223,,
Nevada,Monitor,Allison,AL19,10,0,point,2015,2280,0,NA,,,,,,65,98,548712,4351888,,
Nevada,Monitor,Allison,AL20,10,0,point,2015,2227,0,NA,,,,,,65,98,549703,4352135,,
Nevada,Monitor,Allison,AL21,10,0,point,2015,2209,0,NA,,,,,,65,98,549951,4352294,,
Nevada,Monitor,Allison,AL22,10,0,point,2015,2179,0,NA,,,,,,65,98,550268,4352752,,
Nevada,Toquima,Antone,AN01.1,10,0,point,2015,2403,0,NA,,,,,,129,135,508271,4280080,,
Nevada,Toquima,Antone,AN01.2,10,0,point,2015,2425,0,NA,,,,,,129,135,507742,4279834,,
Nevada,Toquima,Antone,AN01.3,10,0,point,2015,2450,0,NA,,,,,,129,135,507392,4279847,,
Nevada,Toquima,Antone,AN02.1,10,0,point,2015,2486,0,NA,,,,,,129,135,506905,4279511,,
Nevada,Toquima,Antone,AN02.2,10,4,point,2015,2518,0,NA,,,,,,129,135,506461,4279457,,
Nevada,Toquima,Antone,AN03.1,10,5,point,2015,2604,0,NA,,,,,,129,135,505591,4279341,,
Nevada,Toquima,Antone,AN03.2,10,0,point,2015,2658,0,NA,,,,,,164,164,505178,4279056,,
Nevada,Toquima,Antone,AN04.1,10,0,point,2015,2735,0,NA,,,,,,164,164,504693,4278945,,
Nevada,Shoshone,Barrett,BA01.1,10,0,point,2015,2156,0,NA,,,,,,82,117,457842,4326960,,
Nevada,Shoshone,Barrett,BA01.2,10,4,point,2015,2180,0,NA,,,,,,82,117,457435,4327193,,
Nevada,Shoshone,Barrett,BA02.1,10,3,point,2015,2263,0,NA,,,,,,82,117,456127,4327497,,
Nevada,Shoshone,Barrett,BA02.2,10,2,point,2015,2282,0,NA,,,,,,82,117,455870,4327620,,
Nevada,Shoshone,Barrett,BA03.1,10,0,point,2015,2364,0,NA,,,,,,122,142,454833,4327629,,
Nevada,Shoshone,Barrett,BA03.2,10,2,point,2015,2395,0,NA,,,,,,122,142,454493,4327634,,
Nevada,Shoshone,Barrett,BA04.1,10,0,point,2015,2455,0,NA,,,,,,122,142,453911,4327755,,
Nevada,Shoshone,Barrett,BA04.2,10,0,point,2015,2468,0,NA,,,,,,122,142,453813,4327895,,
Nevada,Shoshone,Barrett,BA05.1,10,0,point,2015,2518,0,NA,,,,,,122,142,453507,4328236,,
Nevada,Shoshone,Barrett,BA05.2,10,2,point,2015,2554,0,NA,,,,,,122,142,453312,4328349,,
Nevada,Shoshone,Barrett,BA06.1,10,8,point,2015,2640,0,NA,,,,,,109,136,453038,4328612,,
Nevada,Shoshone,Barrett,BA06.2,10,5,point,2015,2679,0,NA,,,,,,109,136,452941,4328666,,
Nevada,Toiyabe,Birch,BI01.1,10,6,point,2015,1966,0,NA,,,,,,69,96,498887,4358987,,
Nevada,Toiyabe,Birch,BI01.2,10,5,point,2015,1991,0,NA,,,,,,69,96,498570,4359048,,
Nevada,Toiyabe,Birch,BI02.1,10,4,point,2015,2058,0,NA,,,,,,166,144,497584,4359812,,
Nevada,Toiyabe,Birch,BI02.2,10,6,point,2015,2105,0,NA,,,,,,166,144,497212,4360036,,
Nevada,Toiyabe,Birch,BI03.1,10,7,point,2015,2122,0,NA,,,,,,166,144,497171,4360414,,
Nevada,Toiyabe,Birch,BI03.2,10,10,point,2015,2153,0,NA,,,,,,149,134,496976,4360740,,
Nevada,Toiyabe,Birch,BI03.3,10,0,point,2015,2158,0,NA,,,,,,149,134,496572,4361012,,
Nevada,Toiyabe,Birch,BI04.1,10,0,point,2015,2211,0,NA,,,,,,149,134,496016,4362190,,
Nevada,Toiyabe,Birch,BI04.2,10,8,point,2015,2231,0,NA,,,,,,149,134,495899,4362638,,
Nevada,Toiyabe,Birch,BI04.3,10,5,point,2015,2324,0,NA,,,,,,149,134,496025,4363900,,
Nevada,Toiyabe,Birch,BI05.1,10,4,point,2015,2376,0,NA,,,,,,149,134,496070,4364329,,
Nevada,Toiyabe,Birch,BI05.2,10,6,point,2015,2410,0,NA,,,,,,149,134,495912,4364636,,
Nevada,Toiyabe,Birch,BI06.1,10,2,point,2015,2484,0,NA,,,,,,149,134,495419,4364918,,
Nevada,Toiyabe,Birch,BI06.2,10,8,point,2015,2524,0,NA,,,,,,149,134,495236,4365279,,
Nevada,Toiyabe,Birch,BI07.1,10,9,point,2015,2555,0,NA,,,,,,126,123,495466,4365710,,
Nevada,Toiyabe,Birch,BI07.2,10,4,point,2015,2586,0,NA,,,,,,126,123,495570,4366063,,
Nevada,Toiyabe,Birch,BI0B1,31,24,point,2015,1900,1,2007,21,,6,,16,69,96,499898,4358107,,
Nevada,Toiyabe,Birch,BI0B2,31,19,point,2015,1920,1,2007,21,,9,,13,69,96,499642,4358265,,
Nevada,Toiyabe,Birch,BI0B3,31,31,point,2015,1929,1,2007,21,,9,,14,69,96,499332,4358458,,
Nevada,Toiyabe,Birch,BI0B4,31,21,point,2015,1960,1,2007,21,,6,,11,69,96,499077,4358851,,
Nevada,Monitor,Barley,BL01,10,0,point,2015,2249,0,NA,,,,,,67,88,526371,4274731,,
Nevada,Monitor,Barley,BL02,10,0,point,2015,2240,0,NA,,,,,,67,88,526460,4275079,,
Nevada,Monitor,Barley,BL03,10,2,point,2015,2225,0,NA,,,,,,67,88,526524,4275434,,
Nevada,Monitor,Barley,BL04,10,0,point,2015,2241,0,NA,,,,,,113,109,527520,4275949,,
Nevada,Monitor,Barley,BL05,10,0,point,2015,2245,0,NA,,,,,,113,109,527839,4276098,,
Nevada,Monitor,Barley,BL06,10,0,point,2015,2256,0,NA,,,,,,113,109,528178,4276244,,
Nevada,Monitor,Barley,BL07,10,0,point,2015,2258,0,NA,,,,,,113,109,528540,4276183,,
Nevada,Monitor,Barley,BL08,10,1,point,2015,2275,0,NA,,,,,,113,109,529291,4276396,,
Nevada,Monitor,Barley,BL09,10,2,point,2015,2283,0,NA,,,,,,113,109,529636,4276547,,
Nevada,Monitor,Barley,BL10,10,0,point,2015,2309,0,NA,,,,,,113,109,530218,4277084,,
Nevada,Monitor,Barley,BL11,10,0,point,2015,2318,0,NA,,,,,,113,109,530677,4277376,,
Nevada,Monitor,Barley,BL12,10,0,point,2015,2345,0,NA,,,,,,152,126,531363,4278415,,
Nevada,Monitor,Barley,BL13,10,2,point,2015,2359,0,NA,,,,,,152,126,531457,4278622,,
Nevada,Monitor,Barley,BL14,10,0,point,2015,2376,0,NA,,,,,,152,126,531603,4278935,,
Nevada,Monitor,Barley,BL15,10,0,point,2015,2389,0,NA,,,,,,152,126,531506,4279427,,
Nevada,Monitor,Barley,BL16,10,0,point,2015,2398,0,NA,,,,,,152,126,531518,4279788,,
Nevada,Monitor,Charnoc North,CBN01,10,0,point,2015,2422,0,NA,,,,,,79,108,546194,4349269,,
Nevada,Monitor,Charnoc North,CBN02,10,0,point,2015,2457,0,NA,,,,,,79,108,546476,4349215,,
Nevada,Monitor,Charnoc North,CBN04,10,0,point,2015,2425,0,NA,,,,,,79,108,546131,4350086,,
Nevada,Monitor,Charnoc North,CBN05,10,0,point,2015,2413,0,NA,,,,,,79,108,546053,4349771,,
Nevada,Monitor,Charnoc South,CBS01,10,0,point,2015,2341,0,NA,,,,,,76,103,545790,4345796,,
Nevada,Monitor,Charnoc South,CBS02,10,0,point,2015,2339,0,NA,,,,,,76,103,545551,4345989,,
Nevada,Monitor,Charnoc South,CBS03,10,0,point,2015,2328,0,NA,,,,,,76,103,545275,4346025,,
Nevada,Monitor,Charnoc South,CBS04,10,0,point,2015,2330,0,NA,,,,,,76,103,545075,4346243,,
Nevada,Monitor,Charnoc South,CBS05,10,0,point,2015,2336,0,NA,,,,,,76,103,544990,4346534,,
Nevada,Monitor,Dobbin East,DE05.1,10,0,point,2015,2640,0,NA,,,,,,137,129,542202,4310091,,
Nevada,Monitor,Dobbin East,DE05.2,10,0,point,2015,2614,0,NA,,,,,,113,116,542034,4309778,,
Nevada,Monitor,Dobbin East,DE05.3,10,5,point,2015,2546,0,NA,,,,,,113,116,542287,4309074,,
Nevada,Monitor,Dobbin East,DE06.1,10,3,point,2015,2486,0,NA,,,,,,113,116,542619,4308317,,
