state,range,canyon or area,point,num_samples_BRTE,BRTEcount,mtype,year,elevation,burned,firstGS,num_samples_grass&forb,igrass,grasscvr,iforb,forbcvr,grazed,wtprecip,spprecip,UTMx (NAD83 zone 11),UTMy (NAD83 zone 11),grazed,prop_grazed
Nevada,Toquima,Antone,AN01.1,,,point,2004,2403,0,NA,21,,17,,12,,175,99,508271,4280080,,
Nevada,Toquima,Antone,AN01.2,,,point,2004,2425,0,NA,21,,19,,15,,175,99,507742,4279834,,
Nevada,Toquima,Antone,AN01.3,,,point,2004,2450,0,NA,21,,18,,18,,175,99,507392,4279847,,
Nevada,Toquima,Antone,AN02.1,,,point,2004,2486,0,NA,21,,12,,12,,175,99,506905,4279511,,
Nevada,Toquima,Antone,AN02.2,,,point,2004,2518,0,NA,21,,15,,15,,175,99,506461,4279457,,
Nevada,Toquima,Antone,AN03.1,,,point,2004,2604,0,NA,21,,19,,18,,175,99,505591,4279341,,
Nevada,Toquima,Antone,AN03.2,,,point,2004,2658,0,NA,21,,4,,6,,216,130,505178,4279056,,
Nevada,Toquima,Antone,AN04.1,,,point,2004,2735,0,NA,21,,7,,14,,216,130,504693,4278945,,
Nevada,Toiyabe,Jett,JE01.1,,,point,2004,1972,0,NA,21,,3,,2,,73,40,481292,4286426,,
Nevada,Toiyabe,Jett,JE01.2,,,point,2004,1978,0,NA,21,,7,,5,,73,40,480943,4286510,,
Nevada,Toiyabe,Jett,JE01.3,,,point,2004,2016,0,NA,20,,0,,7,,73,40,480602,4286575,,
Nevada,Toiyabe,Jett,JE02.1,,,point,2004,2051,0,NA,21,,3,,6,,164,101,480042,4286915,,
Nevada,Toiyabe,Jett,JE02.2,,,point,2004,2085,0,NA,21,,2,,4,,164,101,479554,4287084,,
Nevada,Toiyabe,Jett,JE02.3,,,point,2004,2115,0,NA,21,,1,,3,,164,101,479032,4287356,,
Nevada,Toiyabe,Jett,JE03.1,,,point,2004,2143,0,NA,21,,13,,2,,164,101,478738,4287599,,
Nevada,Toiyabe,Jett,JE03.2,,,point,2004,2156,0,NA,21,,8,,10,,164,101,478552,4287654,,
Nevada,Toiyabe,Jett,JE03.3,,,point,2004,2190,0,NA,21,,12,,4,,164,101,478243,4287949,,
Nevada,Toquima,Meadow,MD01.1,,,point,2004,2259,0,NA,15,,6,,5,,146,84,512295,4277782,,
Nevada,Toquima,Meadow,MD01.2,,,point,2004,2273,0,NA,21,,16,,10,,146,84,511844,4278222,,
Nevada,Toquima,Meadow,MD01.3,,,point,2004,2302,0,NA,21,,11,,6,,146,84,511062,4279066,,
Nevada,Toquima,Meadow,MD02.1,,,point,2004,2342,0,NA,14,,5,,9,,146,84,510018,4280073,,
Nevada,Toquima,Meadow,MD02.2,,,point,2004,2368,0,NA,21,,19,,12,,146,84,509176,4280604,,
Nevada,Toquima,Meadow,MD02.3,,,point,2004,2384,0,NA,21,,14,,18,,175,99,508562,4281002,,
Nevada,Toquima,Meadow,MD03.1,,,point,2004,2447,0,NA,21,,12,,15,,189,106,507148,4282357,,
Nevada,Toquima,Meadow,MD03.2,,,point,2004,2495,0,NA,21,,17,,19,,189,106,506561,4282170,,
Nevada,Toquima,Meadow,MD04.1,,,point,2004,2577,0,NA,21,,15,,18,,175,99,505955,4281915,,
Nevada,Toquima,Meadow,MD04.2,,,point,2004,2619,0,NA,21,,15,,17,,189,106,505683,4282116,,
Nevada,Toquima,Meadow,MD05.1,,,point,2004,2660,0,NA,21,,20,,16,,189,106,505506,4282528,,
Nevada,Toquima,Meadow,MD05.2,,,point,2004,2674,0,NA,21,,21,,20,,178,102,505212,4282660,,
Nevada,Toiyabe,Ophir,OP01.1,,,point,2004,1969,0,NA,21,,13,,2,,92,58,478608,4310154,,
Nevada,Toiyabe,Ophir,OP01.2,,,point,2004,2033,0,NA,21,,13,,5,,92,58,478207,4310375,,
Nevada,Toiyabe,Ophir,OP02.1,,,point,2004,2093,0,NA,17,,3,,2,,92,58,477850,4310416,,
Nevada,Toiyabe,Ophir,OP02.2,,,point,2004,2167,0,NA,17,,2,,3,,92,58,477519,4310331,,
Nevada,Toiyabe,Ophir,OP03.1,,,point,2004,2248,0,NA,21,,4,,9,,92,58,477123,4310512,,
Nevada,Toiyabe,Ophir,OP03.2,,,point,2004,2278,0,NA,21,,12,,5,,92,58,476818,4310735,,
Nevada,Toiyabe,Ophir,OP04.1,,,point,2004,2368,0,NA,21,,11,,11,,203,115,475875,4310641,,
Nevada,Toiyabe,Ophir,OP05.1,,,point,2004,2415,0,NA,21,,11,,13,,203,115,475407,4310665,,
Nevada,Toiyabe,Ophir,OP05.2,,,point,2004,2477,0,NA,21,,13,,16,,203,115,474938,4310724,,
Nevada,Toiyabe,Ophir,OP06.1,,,point,2004,2558,0,NA,21,,12,,9,,203,115,474322,4310756,,
Nevada,Toiyabe,Ophir,OP06.2,,,point,2004,2626,0,NA,21,,14,,14,,203,115,473902,4310610,,
Nevada,Toiyabe,Ophir,OP07.1,,,point,2004,2688,0,NA,21,,11,,11,,203,115,473586,4310655,,
Nevada,Toiyabe,Ophir,OP08.1,,,point,2004,2822,0,NA,21,,15,,18,,203,115,473340,4310304,,
Nevada,Toiyabe,Ophir,OP09.1,,,point,2004,2888,0,NA,21,,18,,15,,203,115,473110,4310337,,
Nevada,Toiyabe,Ophir,OP09.2,,,point,2004,2981,0,NA,21,,18,,15,,206,114,472702,4310313,,
Nevada,Shoshone,Riley,RI01.1,,,point,2004,2065,0,NA,21,,3,,2,,96,61,463233,4329300,,
Nevada,Shoshone,Riley,RI01.2,,,point,2004,2115,0,NA,21,,15,,6,,96,61,462743,4329787,,
Nevada,Shoshone,Riley,RI02.1,,,point,2004,2147,0,NA,21,,11,,1,,96,61,462578,4330360,,
Nevada,Shoshone,Riley,RI02.2,,,point,2004,2182,0,NA,21,,15,,4,,96,61,462370,4330938,,
Nevada,Shoshone,Riley,RI03.1,,,point,2004,2259,0,NA,21,,16,,6,,96,61,462568,4332105,,
Nevada,Shoshone,Riley,RI03.2,,,point,2004,2305,0,NA,21,,9,,6,,96,61,462716,4332560,,
Nevada,Shoshone,Riley,RI04.1,,,point,2004,2368,0,NA,21,,17,,16,,129,78,462527,4333413,,
Nevada,Shoshone,Riley,RI04.2,,,point,2004,2412,0,NA,21,,14,,15,,129,78,462424,4334066,,
Nevada,Shoshone,Riley,RI05.1,,,point,2004,2483,0,NA,21,,13,,11,,198,108,462019,4334785,,
Nevada,Shoshone,Riley,RI05.2,,,point,2004,2545,0,NA,21,,17,,14,,129,78,462451,4334910,,
Nevada,Toiyabe,Summit,SU01.1,,,point,2004,1989,0,NA,21,,8,,9,,92,58,479257,4313358,,
Nevada,Toiyabe,Summit,SU01.2,,,point,2004,2072,0,NA,21,,11,,12,,92,58,478677,4313528,,
Nevada,Toiyabe,Summit,SU02.1,,,point,2004,2125,0,NA,21,,13,,9,,92,58,478370,4313751,,
Nevada,Toiyabe,Summit,SU02.2,,,point,2004,2146,0,NA,21,,8,,8,,92,58,478226,4313749,,
Nevada,Toiyabe,Summit,SU03.1,,,point,2004,2280,0,NA,21,,2,,3,,92,58,477620,4314075,,
Nevada,Toiyabe,Summit,SU03.2,,,point,2004,2311,0,NA,21,,4,,3,,92,58,477277,4314119,,
Nevada,Toiyabe,Summit,SU04.1,,,point,2004,2350,0,NA,21,,11,,14,,92,58,476898,4314091,,
Nevada,Toiyabe,Summit,SU04.2,,,point,2004,2409,0,NA,15,,6,,11,,203,115,476402,4314164,,
Nevada,Toiyabe,Summit,SU05.1,,,point,2004,2468,0,NA,21,,12,,18,,200,115,476069,4314635,,
Nevada,Toiyabe,Summit,SU05.2,,,point,2004,2523,0,NA,21,,6,,7,,200,115,475934,4314998,,
Nevada,Toiyabe,Summit,SU06.1,,,point,2004,2575,0,NA,21,,10,,9,,200,115,475658,4315078,,
Nevada,Toiyabe,Summit,SU06.2,,,point,2004,2587,0,NA,21,,12,,10,,200,115,475781,4314913,,
Nevada,Toiyabe,Stewart,SW00.1,,,point,2004,2605,0,NA,21,,15,,16,,161,94,467063,4305943,,
