,Year,Elevation,Plot_type,Tree_Cover,Plot,yr_point,BRTEcount,avg_PG_cover,Type_yr_point,Pgcount,State,Range,Canyon,point,num_samples,mtype,firstGS,UTMX,UTMY,elevation,igrass
1,2001,Low,Burned,M,1,2001.Low.Burned.M.1,2,7.096005531,2001.Low.Burned.M.1.Perennial.Graminoid,47,NV,Shoshone,Underdown,Low.Burned.M.1,50,0.25 quadrat,NA,466149.6262,4334495.3,2092.9,11.82667588
2,2001,Low,Burned,M,1,2001.Low.Burned.M.1,2,7.096005531,2001.Low.Burned.M.1.Perennial.Graminoid,47,NV,Shoshone,Underdown,Low.Burned.M.1,50,0.25 quadrat,NA,466149.6262,4334495.3,2092.9,11.82667588
3,2001,Low,Burned,M,2,2001.Low.Burned.M.2,NA,6.958,2001.Low.Burned.M.2.Perennial.Graminoid,48,NV,Shoshone,Underdown,Low.Burned.M.2,50,0.25 quadrat,NA,466173.0265,4334492.316,2092.2,11.59666667
4,2001,Low,Burned,M,2,2001.Low.Burned.M.2,NA,6.958,2001.Low.Burned.M.2.Perennial.Graminoid,48,NV,Shoshone,Underdown,Low.Burned.M.2,50,0.25 quadrat,NA,466173.0265,4334492.316,2092.2,11.59666667
5,2001,Low,Burned,M,3,2001.Low.Burned.M.3,12,7.759547778,2001.Low.Burned.M.3.Perennial.Graminoid,48,NV,Shoshone,Underdown,Low.Burned.M.3,50,0.25 quadrat,NA,466206.4509,4334489.623,2085.7,12.93257963
6,2001,Low,Burned,M,3,2001.Low.Burned.M.3,12,7.759547778,2001.Low.Burned.M.3.Perennial.Graminoid,48,NV,Shoshone,Underdown,Low.Burned.M.3,50,0.25 quadrat,NA,466206.4509,4334489.623,2085.7,12.93257963
7,2001,Low,Control,M,1,2001.Low.Control.M.1,NA,7.026013549,2001.Low.Control.M.1.Perennial.Graminoid,49,NV,Shoshone,Underdown,Low.Control.M.1,50,0.25 quadrat,NA,466555.3251,4334284.488,2065.5,11.71002258
8,2001,Low,Control,M,1,2001.Low.Control.M.1,NA,7.026013549,2001.Low.Control.M.1.Perennial.Graminoid,49,NV,Shoshone,Underdown,Low.Control.M.1,50,0.25 quadrat,NA,466555.3251,4334284.488,2065.5,11.71002258
9,2001,Low,Control,M,2,2001.Low.Control.M.2,NA,9.648844025,2001.Low.Control.M.2.Perennial.Graminoid,50,NV,Shoshone,Underdown,Low.Control.M.2,50,0.25 quadrat,NA,466519.5856,4334311.719,2060.9,16.08140671
10,2001,Low,Control,M,2,2001.Low.Control.M.2,NA,9.648844025,2001.Low.Control.M.2.Perennial.Graminoid,50,NV,Shoshone,Underdown,Low.Control.M.2,50,0.25 quadrat,NA,466519.5856,4334311.719,2060.9,16.08140671
11,2001,Low,Control,M,3,2001.Low.Control.M.3,1,6.204846235,2001.Low.Control.M.3.Perennial.Graminoid,46,NV,Shoshone,Underdown,Low.Control.M.3,50,0.25 quadrat,NA,466596.04,4334290.307,2062.5,10.34141039
12,2001,Low,Control,M,3,2001.Low.Control.M.3,1,6.204846235,2001.Low.Control.M.3.Perennial.Graminoid,46,NV,Shoshone,Underdown,Low.Control.M.3,50,0.25 quadrat,NA,466596.04,4334290.307,2062.5,10.34141039
13,2001,Mid,Burned,E,1,2001.Mid.Burned.E.1,10,4.158,2001.Mid.Burned.E.1.Perennial.Graminoid,49,NV,Shoshone,Underdown,Mid.Burned.E.1,50,0.25 quadrat,NA,464131.8062,4335260.479,2234.2,6.93
14,2001,Mid,Burned,E,1,2001.Mid.Burned.E.1,10,4.158,2001.Mid.Burned.E.1.Perennial.Graminoid,49,NV,Shoshone,Underdown,Mid.Burned.E.1,50,0.25 quadrat,NA,464131.8062,4335260.479,2234.2,6.93
