canyon,point,grazing_2006,grazing_prop_2006,grazing_2007,grazing_prop_2007,grazing_2008,grazing_prop_2008,grazing_2009,grazing_prop_2009,grazing_2010,grazing_prop_2010,grazing_2011,grazing_prop_2011,grazing_2012,grazing_prop_2012,grazing_2013,grazing_prop_2013,grazing_2014,grazing_prop_2014,grazing_2015,grazing_prop_2015
Underdown,Low.Control.M.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Low.Control.M.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Low.Control.M.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Low.Burned.M.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Low.Burned.M.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Low.Burned.M.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Control.E.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Control.E.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Control.E.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Control.L.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Control.L.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Control.L.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Control.M.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Control.M.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Control.M.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,High.Burned.M.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,High.Burned.M.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,High.Burned.M.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,High.Control.M.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,High.Control.M.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,High.Control.M.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Burned.E.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Burned.E.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Burned.E.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Burned.M.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Burned.M.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Burned.M.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Burned.L.1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Burned.L.2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Underdown,Mid.Burned.L.3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
