canyon,point,precip_2000_spring,precip_2000_winter,precip_2001_spring,precip_2001_winter,precip_2002_spring,precip_2002_winter,precip_2003_spring,precip_2003_winter,precip_2004_spring,precip_2004_winter,precip_2005_spring,precip_2005_winter,precip_2006_spring,precip_2006_winter,precip_2007_spring,precip_2007_winter,precip_2008_spring,precip_2008_winter,precip_2009_spring,precip_2009_winter,precip_2010_spring,precip_2010_winter,precip_2011_spring,precip_2011_winter,precip_2012_spring,precip_2012_winter,precip_2013_spring,precip_2013_winter,precip_2014_spring,precip_2014_winter,precip_2015_spring,precip_2015_winter,,,precip_precip_2000_spring,precip_precip_2000_winter,precip_precip_2001_spring,precip_precip_2001_winter,precip_precip_2002_spring,precip_precip_2002_winter,precip_precip_2003_spring,precip_precip_2003_winter,precip_precip_2004_spring,precip_precip_2004_winter,precip_precip_2005_spring,precip_precip_2005_winter,precip_precip_2006_spring,precip_precip_2006_winter,precip_precip_2007_spring,precip_precip_2007_winter,precip_precip_2008_spring,precip_precip_2008_winter,precip_precip_2009_spring,precip_precip_2009_winter,precip_precip_2010_spring,precip_precip_2010_winter,precip_precip_2011_spring,precip_precip_2011_winter,precip_precip_2012_spring,precip_precip_2012_winter,precip_precip_2013_spring,precip_precip_2013_winter,precip_precip_2014_spring,precip_precip_2014_winter,precip_precip_2015_spring,precip_precip_2015_winter
Underdown,Low.Control.M.1,73.92,87.88,35.56,117.09,45.46,99.57,77.73,96.52,49.53,69.85,90.68,181.86,63.5,141.23,45.46,85.09,39.88,104.39,103.38,96.79,57.66,114.05,60.45,189.74,25.66,70.36,26.67,55.12,45.98,111,99.31,48.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underdown,Low.Control.M.2,73.92,87.88,35.56,117.09,45.46,99.57,77.73,96.52,49.53,69.85,90.68,181.86,63.5,141.23,45.46,85.09,39.88,104.39,103.38,96.79,57.66,114.05,60.45,189.74,25.66,70.36,26.67,55.12,45.98,111,99.31,48.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underdown,Low.Control.M.3,73.92,87.88,35.56,117.09,45.46,99.57,77.73,96.52,49.53,69.85,90.68,181.86,63.5,141.23,45.46,85.09,39.88,104.39,103.38,96.79,57.66,114.05,60.45,189.74,25.66,70.36,26.67,55.12,45.98,111,99.31,48.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underdown,Low.Burned.M.1,73.92,87.88,35.56,117.09,45.46,99.57,77.73,96.52,49.53,69.85,90.68,181.86,63.5,141.23,45.46,85.09,39.88,104.39,103.38,96.79,57.66,114.05,60.45,189.74,25.66,70.36,26.67,55.12,45.98,111,99.31,48.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underdown,Low.Burned.M.2,73.92,87.88,35.56,117.09,45.46,99.57,77.73,96.52,49.53,69.85,90.68,181.86,63.5,141.23,45.46,85.09,39.88,104.39,103.38,96.79,57.66,114.05,60.45,189.74,25.66,70.36,26.67,55.12,45.98,111,99.31,48.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underdown,Low.Burned.M.3,73.92,87.88,35.56,117.09,45.46,99.57,77.73,96.52,49.53,69.85,90.68,181.86,63.5,141.23,45.46,85.09,39.88,104.39,103.38,96.79,57.66,114.05,60.45,189.74,25.66,70.36,26.67,55.12,45.98,111,99.31,48.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underdown,Mid.Control.E.1,111.25,149.87,57.4,187.71,78.23,164.09,122.17,150.63,78.48,128.53,157.48,273.8,85.34,237.99,82.8,152.91,56.89,175.27,161.54,174.75,92.21,191.26,104.14,302.77,44.45,120.64,47.76,120.91,67.82,182.13,127.26,98.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underdown,Mid.Control.E.2,111.25,149.87,57.4,187.71,78.23,164.09,122.17,150.63,78.48,128.53,157.48,273.8,85.34,237.99,82.8,152.91,56.89,175.27,161.54,174.75,92.21,191.26,104.14,302.77,44.45,120.64,47.76,120.91,67.82,182.13,127.26,98.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underdown,Mid.Control.E.3,111.25,149.87,57.4,187.71,78.23,164.09,122.17,150.63,78.48,128.53,157.48,273.8,85.34,237.99,82.8,152.91,56.89,175.27,161.54,174.75,92.21,191.26,104.14,302.77,44.45,120.64,47.76,120.91,67.82,182.13,127.26,98.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Underdown,Mid.Control.L.1,111.25,149.87,57.4,187.71,78.23,164.09,122.17,150.63,78.48,128.53,157.48,273.8,85.34,237.99,82.8,152.91,56.89,175.27,161.54,174.75,92.21,191.26,104.14,302.77,44.45,120.64,47.76,120.91,67.82,182.13,127.26,98.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
