"","mean","se_mean","sd","10%","50%","90%","n_eff","Rhat"
"a_Allison",-0.619975786305778,0.0190566052442894,0.728735560571889,-1.572514718609,-0.601767265305176,0.312838374633356,1462.34165050667,1.00028967359514
"a_Antone",0.468106945275973,0.00802800711089549,0.477114598219145,-0.157381506075211,0.480039521349854,1.06001988935849,3532.07496618826,1.00106679057277
"a_Barley",1.06920835774959,0.0161296941785029,0.777218867311109,0.080128012848545,1.06027732065573,2.08446998742886,2321.85130352184,1.00055405131955
"a_Barrett",1.06920835774959,0.0161296941785029,0.777218867311109,0.080128012848545,1.06027732065573,2.08446998742886,2321.85130352184,1.00055405131955
"a_Becker",0.169219666530215,0.011610539283748,0.535693128669925,-0.516865633044382,0.170004393144058,0.85017435028288,2128.7632639636,1.00030147127067
"a_Birch",-0.619975786305778,0.0190566052442894,0.728735560571889,-1.572514718609,-0.601767265305176,0.312838374633356,1462.34165050667,1.00028967359514
"a_Charnoc North",-0.619975786305778,0.0190566052442894,0.728735560571889,-1.572514718609,-0.601767265305176,0.312838374633356,1462.34165050667,1.00028967359514
"a_Charnoc South",-0.619975786305778,0.0190566052442894,0.728735560571889,-1.572514718609,-0.601767265305176,0.312838374633356,1462.34165050667,1.00028967359514
"a_Dobbin East",-0.619975786305778,0.0190566052442894,0.728735560571889,-1.572514718609,-0.601767265305176,0.312838374633356,1462.34165050667,1.00028967359514
"a_Dobbin West",-0.619975786305778,0.0190566052442894,0.728735560571889,-1.572514718609,-0.601767265305176,0.312838374633356,1462.34165050667,1.00028967359514
"a_Jett",1.06920835774959,0.0161296941785029,0.777218867311109,0.080128012848545,1.06027732065573,2.08446998742886,2321.85130352184,1.00055405131955
"a_Meadow",0.169219666530215,0.011610539283748,0.535693128669925,-0.516865633044382,0.170004393144058,0.85017435028288,2128.7632639636,1.00030147127067
"a_Moores East",0.468106945275973,0.00802800711089549,0.477114598219145,-0.157381506075211,0.480039521349854,1.06001988935849,3532.07496618826,1.00106679057277
"a_Moores West",0.468106945275973,0.00802800711089549,0.477114598219145,-0.157381506075211,0.480039521349854,1.06001988935849,3532.07496618826,1.00106679057277
"a_Northumberland East",0.468106945275973,0.00802800711089549,0.477114598219145,-0.157381506075211,0.480039521349854,1.06001988935849,3532.07496618826,1.00106679057277
"a_Northumberland West",0.468106945275973,0.00802800711089549,0.477114598219145,-0.157381506075211,0.480039521349854,1.06001988935849,3532.07496618826,1.00106679057277
"a_Ophir",0.468106945275973,0.00802800711089549,0.477114598219145,-0.157381506075211,0.480039521349854,1.06001988935849,3532.07496618826,1.00106679057277
"a_Riley",0.169219666530215,0.011610539283748,0.535693128669925,-0.516865633044382,0.170004393144058,0.85017435028288,2128.7632639636,1.00030147127067
"a_Ryegrass",1.06920835774959,0.0161296941785029,0.777218867311109,0.080128012848545,1.06027732065573,2.08446998742886,2321.85130352184,1.00055405131955
"a_San Juan",-0.619975786305778,0.0190566052442894,0.728735560571889,-1.572514718609,-0.601767265305176,0.312838374633356,1462.34165050667,1.00028967359514
"a_Stewart",0.169219666530215,0.011610539283748,0.535693128669925,-0.516865633044382,0.170004393144058,0.85017435028288,2128.7632639636,1.00030147127067
"a_Summit",0.169219666530215,0.011610539283748,0.535693128669925,-0.516865633044382,0.170004393144058,0.85017435028288,2128.7632639636,1.00030147127067
"a_Underdown",0.169219666530215,0.011610539283748,0.535693128669925,-0.516865633044382,0.170004393144058,0.85017435028288,2128.7632639636,1.00030147127067
"a_Wall",0.169219666530215,0.011610539283748,0.535693128669925,-0.516865633044382,0.170004393144058,0.85017435028288,2128.7632639636,1.00030147127067
"a_Wallace",-0.619975786305778,0.0190566052442894,0.728735560571889,-1.572514718609,-0.601767265305176,0.312838374633356,1462.34165050667,1.00028967359514
"a_Washington",-0.619975786305778,0.0190566052442894,0.728735560571889,-1.572514718609,-0.601767265305176,0.312838374633356,1462.34165050667,1.00028967359514
"a_White Sage",0.169219666530215,0.011610539283748,0.535693128669925,-0.516865633044382,0.170004393144058,0.85017435028288,2128.7632639636,1.00030147127067
