"","mean","se_mean","sd","10%","50%","90%","n_eff","Rhat"
"a_Allison",-1.52956507669393,0.00533905928254933,0.315029376578641,-1.93854108860244,-1.49253945524735,-1.17967689072138,3481.54987722488,0.999533757933592
"a_Antone",-2.19129429198179,0.00553277342414783,0.216021646144333,-2.46854413999244,-2.17819754632135,-1.93296697232435,1524.43450862045,1.00108436040354
"a_Barley",-1.52956507669393,0.00533905928254933,0.315029376578641,-1.93854108860244,-1.49253945524735,-1.17967689072138,3481.54987722488,0.999533757933592
"a_Barrett",-2.19129429198179,0.00553277342414783,0.216021646144333,-2.46854413999244,-2.17819754632135,-1.93296697232435,1524.43450862045,1.00108436040354
"a_Becker",-1.86456378273655,0.0047043164392412,0.190680540923125,-2.08899992897012,-1.8524815391621,-1.65330861318633,1642.93240687315,1.00238966907474
"a_Birch",-2.19129429198179,0.00553277342414783,0.216021646144333,-2.46854413999244,-2.17819754632135,-1.93296697232435,1524.43450862045,1.00108436040354
"a_Charnoc North",-1.86456378273655,0.0047043164392412,0.190680540923125,-2.08899992897012,-1.8524815391621,-1.65330861318633,1642.93240687315,1.00238966907474
"a_Dobbin East",-2.19129429198179,0.00553277342414783,0.216021646144333,-2.46854413999244,-2.17819754632135,-1.93296697232435,1524.43450862045,1.00108436040354
"a_Dobbin West",-2.19129429198179,0.00553277342414783,0.216021646144333,-2.46854413999244,-2.17819754632135,-1.93296697232435,1524.43450862045,1.00108436040354
"a_Elkhorn",-1.86456378273655,0.0047043164392412,0.190680540923125,-2.08899992897012,-1.8524815391621,-1.65330861318633,1642.93240687315,1.00238966907474
"a_Grass Springs",-2.19129429198179,0.00553277342414783,0.216021646144333,-2.46854413999244,-2.17819754632135,-1.93296697232435,1524.43450862045,1.00108436040354
"a_Jett",-1.86456378273655,0.0047043164392412,0.190680540923125,-2.08899992897012,-1.8524815391621,-1.65330861318633,1642.93240687315,1.00238966907474
"a_Meadow",-1.86456378273655,0.0047043164392412,0.190680540923125,-2.08899992897012,-1.8524815391621,-1.65330861318633,1642.93240687315,1.00238966907474
"a_Moores East",-2.19129429198179,0.00553277342414783,0.216021646144333,-2.46854413999244,-2.17819754632135,-1.93296697232435,1524.43450862045,1.00108436040354
"a_Moores West",-1.52956507669393,0.00533905928254933,0.315029376578641,-1.93854108860244,-1.49253945524735,-1.17967689072138,3481.54987722488,0.999533757933592
"a_Northumberland East",-1.5862944796094,0.00382952723467896,0.15476377955423,-1.78641057503409,-1.58217427923319,-1.3926490015711,1633.23368899786,1.00189298420762
"a_Northumberland West",-1.5862944796094,0.00382952723467896,0.15476377955423,-1.78641057503409,-1.58217427923319,-1.3926490015711,1633.23368899786,1.00189298420762
"a_Ophir",-1.86456378273655,0.0047043164392412,0.190680540923125,-2.08899992897012,-1.8524815391621,-1.65330861318633,1642.93240687315,1.00238966907474
"a_Riley",-1.5862944796094,0.00382952723467896,0.15476377955423,-1.78641057503409,-1.58217427923319,-1.3926490015711,1633.23368899786,1.00189298420762
"a_Ryegrass",-1.52956507669393,0.00533905928254933,0.315029376578641,-1.93854108860244,-1.49253945524735,-1.17967689072138,3481.54987722488,0.999533757933592
"a_San Juan",-2.19129429198179,0.00553277342414783,0.216021646144333,-2.46854413999244,-2.17819754632135,-1.93296697232435,1524.43450862045,1.00108436040354
"a_Stewart",-1.86456378273655,0.0047043164392412,0.190680540923125,-2.08899992897012,-1.8524815391621,-1.65330861318633,1642.93240687315,1.00238966907474
"a_Summit",-1.5862944796094,0.00382952723467896,0.15476377955423,-1.78641057503409,-1.58217427923319,-1.3926490015711,1633.23368899786,1.00189298420762
"a_Underdown",-1.5862944796094,0.00382952723467896,0.15476377955423,-1.78641057503409,-1.58217427923319,-1.3926490015711,1633.23368899786,1.00189298420762
"a_Wall",-1.5862944796094,0.00382952723467896,0.15476377955423,-1.78641057503409,-1.58217427923319,-1.3926490015711,1633.23368899786,1.00189298420762
"a_Wallace",-1.86456378273655,0.0047043164392412,0.190680540923125,-2.08899992897012,-1.8524815391621,-1.65330861318633,1642.93240687315,1.00238966907474
"a_Washington",-1.86456378273655,0.0047043164392412,0.190680540923125,-2.08899992897012,-1.8524815391621,-1.65330861318633,1642.93240687315,1.00238966907474
