"","mean","se_mean","sd","10%","50%","90%","n_eff","Rhat"
"Elevation",0.0286769205894323,0.000486216423811443,0.0347263668310673,-0.0158010526138057,0.0282723878044355,0.0734431003103431,5101.04844148129,0.999991207591383
"Hillshade",-0.0798687893849017,0.00022342993348272,0.0203914860705031,-0.105509954633252,-0.0801879889898087,-0.0542003655917455,8329.4253742798,0.999579411923622
"Med. Winter Precip.",0.150152482946615,0.000436814726506024,0.0314333572096103,0.109616341213068,0.149448687621012,0.190573428072882,5178.29744312789,0.99924500551971
"Med. Winter precip./Total precip.",-0.177335717027006,0.000466845708089964,0.0367729149236353,-0.225682451521067,-0.177024636852131,-0.130498260038842,6204.53691693453,1.00014528216087
"Burned",2.6944557360941,0.000739673590144312,0.0617667580582518,2.61628729557801,2.69456305095395,2.77319321120477,6973.15612906106,0.999776910399642
"Grazed",0.465124576501601,0.000419357437058419,0.034346209679036,0.421078776405596,0.464679176620174,0.509340943453306,6707.93638103936,0.999903173835518
"Perennial grass frequency",-0.0785772654285172,0.000291736506007327,0.025904591756043,-0.112143953471896,-0.0785978351428736,-0.0455889261102436,7884.45992689676,0.999331630633456
"Spring precip.",-0.308791202656942,0.00129375328200016,0.0762199954044422,-0.404321985799123,-0.308937506524025,-0.209783583011546,3470.84250612517,1.00001187680764
"Winter precip.",0.26722400726303,0.00111091989501333,0.0657001394186501,0.183163348624033,0.267198925325245,0.350034762068026,3497.5754622312,1.00027139686514
"Winter precip./Total precip.",-0.27046870182418,0.00114258310043284,0.0669076330930634,-0.355876619433828,-0.270957338589567,-0.182321759870431,3429.06518385677,0.99983178947742
