"","mean","se_mean","sd","10%","50%","90%","n_eff","Rhat"
"Elevation",0.407072058859138,0.00141275358337117,0.102885319749955,0.278348377054379,0.405797562044169,0.538156233168172,5303.63939907474,1.00012378120987
"Hillshade",-0.307336892983726,0.000340890024476713,0.0324405275223886,-0.349255613884892,-0.307809341898325,-0.264579613108604,9056.22555072156,1.00007463304068
"Med. Winter precip.",0.249833678289611,0.000956633229571687,0.05526702768848,0.17959819238297,0.249273882013909,0.319629740911155,3337.65383688389,0.999701058516241
"Med. Spring precip.",-0.527053701700287,0.00164916702260703,0.0943207854258809,-0.649036212331804,-0.523840955805879,-0.405553012595989,3271.03757756046,1.00035796340078
"Med. Winter precip./Total precip.",0.0406066023111941,0.000465381290752783,0.0363154343933978,-0.00539444308239238,0.0396108145348409,0.0874618109454533,6089.26181169412,0.999517215471998
"Grazed",-0.132451748512442,0.000602934506843051,0.041098406805479,-0.185761084026794,-0.132493494224467,-0.0792127185519519,4646.32616606552,0.999786362130449
"Time Since Burn",1.03321509188703,0.000902059098709557,0.0504869199246956,0.9686404213384,1.03304956755131,1.09924348997635,3132.47612660033,0.999709632069077
"Time Since Burn2",-0.733841201967296,0.00039470709892216,0.030890811465925,-0.773191959528918,-0.73407472084718,-0.693059565182338,6125.03759872075,0.999470105386517
"Perennial grass frequency",-0.0101333597558023,0.000457483886712304,0.0331378494996552,-0.0515529961193304,-0.0104022126134578,0.0323791814548973,5246.83054412333,0.999701859400794
"Spring precip.",-0.2190187488323,0.00222772598334624,0.114268509047231,-0.368919976480173,-0.217924198310559,-0.0737522862169268,2631.05290545477,0.999676563288787
"Winter precip.",0.264216477570822,0.00176059983120429,0.0921392384186591,0.147124920548957,0.264211774518985,0.385404338192125,2738.84796337734,1.00006599677924
"Winter precip./Total precip.",-0.269670509005013,0.00222903605178138,0.113032538756109,-0.416505564936186,-0.266959618080007,-0.128579046883329,2571.41858761996,0.999908555421742
