"","mean","se_mean","sd","10%","50%","90%","n_eff","Rhat"
"a_Allison",-2.19431989703407,0.0168062814490105,0.528053916219232,-2.90622962977724,-2.1502858390908,-1.53067665594727,987.218468052768,1.00177764195422
"a_Antone",-2.48786465848883,0.00748118311621385,0.261364934607536,-2.80766349683671,-2.46968493838342,-2.18843495305762,1220.54577596168,1.0020124360642
"a_Barley",-2.19431989703407,0.0168062814490105,0.528053916219232,-2.90622962977724,-2.1502858390908,-1.53067665594727,987.218468052768,1.00177764195422
"a_Barrett",-2.48786465848883,0.00748118311621385,0.261364934607536,-2.80766349683671,-2.46968493838342,-2.18843495305762,1220.54577596168,1.0020124360642
"a_Becker",-2.05594699460775,0.00551997385402947,0.208490642138732,-2.34399027661676,-2.03564967561813,-1.80978434766522,1426.58972792386,1.00048511467168
"a_Birch",-2.48786465848883,0.00748118311621385,0.261364934607536,-2.80766349683671,-2.46968493838342,-2.18843495305762,1220.54577596168,1.0020124360642
"a_Charnoc North",-2.05594699460775,0.00551997385402947,0.208490642138732,-2.34399027661676,-2.03564967561813,-1.80978434766522,1426.58972792386,1.00048511467168
"a_Dobbin East",-2.48786465848883,0.00748118311621385,0.261364934607536,-2.80766349683671,-2.46968493838342,-2.18843495305762,1220.54577596168,1.0020124360642
"a_Dobbin West",-2.48786465848883,0.00748118311621385,0.261364934607536,-2.80766349683671,-2.46968493838342,-2.18843495305762,1220.54577596168,1.0020124360642
"a_Jett",-2.48786465848883,0.00748118311621385,0.261364934607536,-2.80766349683671,-2.46968493838342,-2.18843495305762,1220.54577596168,1.0020124360642
"a_Meadow",-2.05594699460775,0.00551997385402947,0.208490642138732,-2.34399027661676,-2.03564967561813,-1.80978434766522,1426.58972792386,1.00048511467168
"a_Moores East",-2.19431989703407,0.0168062814490105,0.528053916219232,-2.90622962977724,-2.1502858390908,-1.53067665594727,987.218468052768,1.00177764195422
"a_Moores West",-2.05594699460775,0.00551997385402947,0.208490642138732,-2.34399027661676,-2.03564967561813,-1.80978434766522,1426.58972792386,1.00048511467168
"a_Northumberland East",-1.74651910032831,0.00388518406953216,0.181238907655631,-1.96938232168388,-1.73124793266044,-1.54126862798699,2176.10413057848,0.999746053297886
"a_Northumberland West",-1.74651910032831,0.00388518406953216,0.181238907655631,-1.96938232168388,-1.73124793266044,-1.54126862798699,2176.10413057848,0.999746053297886
"a_Ophir",-2.05594699460775,0.00551997385402947,0.208490642138732,-2.34399027661676,-2.03564967561813,-1.80978434766522,1426.58972792386,1.00048511467168
"a_Riley",-1.74651910032831,0.00388518406953216,0.181238907655631,-1.96938232168388,-1.73124793266044,-1.54126862798699,2176.10413057848,0.999746053297886
"a_Ryegrass",-2.19431989703407,0.0168062814490105,0.528053916219232,-2.90622962977724,-2.1502858390908,-1.53067665594727,987.218468052768,1.00177764195422
"a_San Juan",-2.48786465848883,0.00748118311621385,0.261364934607536,-2.80766349683671,-2.46968493838342,-2.18843495305762,1220.54577596168,1.0020124360642
"a_Stewart",-2.05594699460775,0.00551997385402947,0.208490642138732,-2.34399027661676,-2.03564967561813,-1.80978434766522,1426.58972792386,1.00048511467168
"a_Summit",-1.74651910032831,0.00388518406953216,0.181238907655631,-1.96938232168388,-1.73124793266044,-1.54126862798699,2176.10413057848,0.999746053297886
"a_Underdown",-1.74651910032831,0.00388518406953216,0.181238907655631,-1.96938232168388,-1.73124793266044,-1.54126862798699,2176.10413057848,0.999746053297886
"a_Wall",-1.74651910032831,0.00388518406953216,0.181238907655631,-1.96938232168388,-1.73124793266044,-1.54126862798699,2176.10413057848,0.999746053297886
"a_Wallace",-2.05594699460775,0.00551997385402947,0.208490642138732,-2.34399027661676,-2.03564967561813,-1.80978434766522,1426.58972792386,1.00048511467168
"a_Washington",-2.05594699460775,0.00551997385402947,0.208490642138732,-2.34399027661676,-2.03564967561813,-1.80978434766522,1426.58972792386,1.00048511467168
