"range","area","pt","yr","brte","nsamp","mtype","elev","burn","graze","pgraze","igrassf","tburn","pgrassf","sppr","wtpr"
"Toquima","Antone","AN01.1",2004,NA,NA,1,2403,0,NA,NA,NA,NA,0.80952380952381,99,175
"Toquima","Antone","AN01.2",2004,NA,NA,1,2425,0,NA,NA,NA,NA,0.904761904761905,99,175
"Toquima","Antone","AN01.3",2004,NA,NA,1,2450,0,NA,NA,NA,NA,0.857142857142857,99,175
"Toquima","Antone","AN02.1",2004,NA,NA,1,2486,0,NA,NA,NA,NA,0.571428571428571,99,175
"Toquima","Antone","AN02.2",2004,NA,NA,1,2518,0,NA,NA,NA,NA,0.714285714285714,99,175
"Toquima","Antone","AN03.1",2004,NA,NA,1,2604,0,NA,NA,NA,NA,0.904761904761905,99,175
"Toquima","Antone","AN03.2",2004,NA,NA,1,2658,0,NA,NA,NA,NA,0.19047619047619,130,216
"Toquima","Antone","AN04.1",2004,NA,NA,1,2735,0,NA,NA,NA,NA,0.333333333333333,130,216
"Toiyabe","Jett","JE01.1",2004,NA,NA,1,1972,0,NA,NA,NA,NA,0.142857142857143,40,73
"Toiyabe","Jett","JE01.2",2004,NA,NA,1,1978,0,NA,NA,NA,NA,0.333333333333333,40,73
"Toiyabe","Jett","JE01.3",2004,NA,NA,1,2016,0,NA,NA,NA,NA,0,40,73
"Toiyabe","Jett","JE02.1",2004,NA,NA,1,2051,0,NA,NA,NA,NA,0.142857142857143,101,164
"Toiyabe","Jett","JE02.2",2004,NA,NA,1,2085,0,NA,NA,NA,NA,0.0952380952380952,101,164
"Toiyabe","Jett","JE02.3",2004,NA,NA,1,2115,0,NA,NA,NA,NA,0.0476190476190476,101,164
"Toiyabe","Jett","JE03.1",2004,NA,NA,1,2143,0,NA,NA,NA,NA,0.619047619047619,101,164
"Toiyabe","Jett","JE03.2",2004,NA,NA,1,2156,0,NA,NA,NA,NA,0.380952380952381,101,164
"Toiyabe","Jett","JE03.3",2004,NA,NA,1,2190,0,NA,NA,NA,NA,0.571428571428571,101,164
"Toquima","Meadow","MD01.1",2004,NA,NA,1,2259,0,NA,NA,NA,NA,0.4,84,146
"Toquima","Meadow","MD01.2",2004,NA,NA,1,2273,0,NA,NA,NA,NA,0.761904761904762,84,146
"Toquima","Meadow","MD01.3",2004,NA,NA,1,2302,0,NA,NA,NA,NA,0.523809523809524,84,146
"Toquima","Meadow","MD02.1",2004,NA,NA,1,2342,0,NA,NA,NA,NA,0.357142857142857,84,146
"Toquima","Meadow","MD02.2",2004,NA,NA,1,2368,0,NA,NA,NA,NA,0.904761904761905,84,146
"Toquima","Meadow","MD02.3",2004,NA,NA,1,2384,0,NA,NA,NA,NA,0.666666666666667,99,175
"Toquima","Meadow","MD03.1",2004,NA,NA,1,2447,0,NA,NA,NA,NA,0.571428571428571,106,189
"Toquima","Meadow","MD03.2",2004,NA,NA,1,2495,0,NA,NA,NA,NA,0.80952380952381,106,189
"Toquima","Meadow","MD04.1",2004,NA,NA,1,2577,0,NA,NA,NA,NA,0.714285714285714,99,175
"Toquima","Meadow","MD04.2",2004,NA,NA,1,2619,0,NA,NA,NA,NA,0.714285714285714,106,189
"Toquima","Meadow","MD05.1",2004,NA,NA,1,2660,0,NA,NA,NA,NA,0.952380952380952,106,189
"Toquima","Meadow","MD05.2",2004,NA,NA,1,2674,0,NA,NA,NA,NA,1,102,178
"Toiyabe","Ophir","OP01.1",2004,NA,NA,1,1969,0,NA,NA,NA,NA,0.619047619047619,58,92
"Toiyabe","Ophir","OP01.2",2004,NA,NA,1,2033,0,NA,NA,NA,NA,0.619047619047619,58,92
"Toiyabe","Ophir","OP02.1",2004,NA,NA,1,2093,0,NA,NA,NA,NA,0.176470588235294,58,92
"Toiyabe","Ophir","OP02.2",2004,NA,NA,1,2167,0,NA,NA,NA,NA,0.117647058823529,58,92
"Toiyabe","Ophir","OP03.1",2004,NA,NA,1,2248,0,NA,NA,NA,NA,0.19047619047619,58,92
"Toiyabe","Ophir","OP03.2",2004,NA,NA,1,2278,0,NA,NA,NA,NA,0.571428571428571,58,92
"Toiyabe","Ophir","OP04.1",2004,NA,NA,1,2368,0,NA,NA,NA,NA,0.523809523809524,115,203
"Toiyabe","Ophir","OP05.1",2004,NA,NA,1,2415,0,NA,NA,NA,NA,0.523809523809524,115,203
"Toiyabe","Ophir","OP05.2",2004,NA,NA,1,2477,0,NA,NA,NA,NA,0.619047619047619,115,203
"Toiyabe","Ophir","OP06.1",2004,NA,NA,1,2558,0,NA,NA,NA,NA,0.571428571428571,115,203
"Toiyabe","Ophir","OP06.2",2004,NA,NA,1,2626,0,NA,NA,NA,NA,0.666666666666667,115,203
"Toiyabe","Ophir","OP07.1",2004,NA,NA,1,2688,0,NA,NA,NA,NA,0.523809523809524,115,203
"Toiyabe","Ophir","OP08.1",2004,NA,NA,1,2822,0,NA,NA,NA,NA,0.714285714285714,115,203
"Toiyabe","Ophir","OP09.1",2004,NA,NA,1,2888,0,NA,NA,NA,NA,0.857142857142857,115,203
"Toiyabe","Ophir","OP09.2",2004,NA,NA,1,2981,0,NA,NA,NA,NA,0.857142857142857,114,206
"Shoshone","Riley","RI01.1",2004,NA,NA,1,2065,0,NA,NA,NA,NA,0.142857142857143,61,96
"Shoshone","Riley","RI01.2",2004,NA,NA,1,2115,0,NA,NA,NA,NA,0.714285714285714,61,96
"Shoshone","Riley","RI02.1",2004,NA,NA,1,2147,0,NA,NA,NA,NA,0.523809523809524,61,96
"Shoshone","Riley","RI02.2",2004,NA,NA,1,2182,0,NA,NA,NA,NA,0.714285714285714,61,96
"Shoshone","Riley","RI03.1",2004,NA,NA,1,2259,0,NA,NA,NA,NA,0.761904761904762,61,96
"Shoshone","Riley","RI03.2",2004,NA,NA,1,2305,0,NA,NA,NA,NA,0.428571428571429,61,96
"Shoshone","Riley","RI04.1",2004,NA,NA,1,2368,0,NA,NA,NA,NA,0.80952380952381,78,129
"Shoshone","Riley","RI04.2",2004,NA,NA,1,2412,0,NA,NA,NA,NA,0.666666666666667,78,129
"Shoshone","Riley","RI05.1",2004,NA,NA,1,2483,0,NA,NA,NA,NA,0.619047619047619,108,198
"Shoshone","Riley","RI05.2",2004,NA,NA,1,2545,0,NA,NA,NA,NA,0.80952380952381,78,129
"Toiyabe","Summit","SU01.1",2004,NA,NA,1,1989,0,NA,NA,NA,NA,0.380952380952381,58,92
"Toiyabe","Summit","SU01.2",2004,NA,NA,1,2072,0,NA,NA,NA,NA,0.523809523809524,58,92
"Toiyabe","Summit","SU02.1",2004,NA,NA,1,2125,0,NA,NA,NA,NA,0.619047619047619,58,92
"Toiyabe","Summit","SU02.2",2004,NA,NA,1,2146,0,NA,NA,NA,NA,0.380952380952381,58,92
"Toiyabe","Summit","SU03.1",2004,NA,NA,1,2280,0,NA,NA,NA,NA,0.0952380952380952,58,92
"Toiyabe","Summit","SU03.2",2004,NA,NA,1,2311,0,NA,NA,NA,NA,0.19047619047619,58,92
"Toiyabe","Summit","SU04.1",2004,NA,NA,1,2350,0,NA,NA,NA,NA,0.523809523809524,58,92
"Toiyabe","Summit","SU04.2",2004,NA,NA,1,2409,0,NA,NA,NA,NA,0.4,115,203
"Toiyabe","Summit","SU05.1",2004,NA,NA,1,2468,0,NA,NA,NA,NA,0.571428571428571,115,200
"Toiyabe","Summit","SU05.2",2004,NA,NA,1,2523,0,NA,NA,NA,NA,0.285714285714286,115,200
"Toiyabe","Summit","SU06.1",2004,NA,NA,1,2575,0,NA,NA,NA,NA,0.476190476190476,115,200
"Toiyabe","Summit","SU06.2",2004,NA,NA,1,2587,0,NA,NA,NA,NA,0.571428571428571,115,200
"Toiyabe","Stewart","SW00.1",2004,NA,NA,1,2605,0,NA,NA,NA,NA,0.714285714285714,94,161
"Toiyabe","Stewart","SW01.1",2004,NA,NA,1,2635,0,NA,NA,NA,NA,0.857142857142857,94,161
"Toiyabe","Stewart","SW01.2",2004,NA,NA,1,2667,0,NA,NA,NA,NA,0.857142857142857,94,161
"Toiyabe","Stewart","SW02.1",2004,NA,NA,1,2731,0,NA,NA,NA,NA,1,138,239
