"range","area","pt","hillshade","medwtpcp","medsppcp","medpropwtr"
"Shoshone","Underdown","High.Burned.M.1",157,239.005,107.95,0.704301660232132
"Shoshone","Underdown","High.Burned.M.2",201,239.005,107.95,0.704301660232132
"Shoshone","Underdown","High.Burned.M.3",180,239.005,107.95,0.704301660232132
"Shoshone","Underdown","High.Control.M.1",196,239.005,107.95,0.704301660232132
"Shoshone","Underdown","High.Control.M.2",186,239.005,107.95,0.704301660232132
"Shoshone","Underdown","High.Control.M.3",154,239.005,107.95,0.704301660232132
"Shoshone","Underdown","Low.Burned.M.1",158,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.2",176,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.3",183,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Control.M.1",187,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Control.M.2",187,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Control.M.3",188,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Mid.Burned.E.1",198,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.2",200,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.3",195,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.1",193,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.2",206,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.3",188,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.1",196,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.2",200,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.3",198,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.1",198,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.2",196,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.E.3",196,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.1",203,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.2",206,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.L.3",200,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.1",197,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.2",202,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Control.M.3",191,150.63,78.48,0.620887879812569
"Monitor","Allison","AL14",225,117,55,0.733009708737864
"Monitor","Allison","AL15",230,133,60,0.733333333333333
"Monitor","Allison","AL16",223,133,60,0.733333333333333
"Monitor","Allison","AL17",214,133,60,0.733333333333333
"Monitor","Allison","AL18",179,133,60,0.733333333333333
"Monitor","Allison","AL19",211,112,52,0.73469387755102
"Monitor","Allison","AL20",206,112,52,0.73469387755102
"Monitor","Allison","AL21",201,112,52,0.73469387755102
"Monitor","Allison","AL22",203,112,52,0.73469387755102
"Toquima","Antone","AN01.1",216,176.5,92.5,0.717783052039381
"Toquima","Antone","AN01.2",204,176.5,92.5,0.717783052039381
"Toquima","Antone","AN01.3",204,176.5,92.5,0.717783052039381
"Toquima","Antone","AN02.1",202,176.5,92.5,0.717783052039381
"Toquima","Antone","AN02.2",208,176.5,92.5,0.717783052039381
"Toquima","Antone","AN03.1",193,176.5,92.5,0.717783052039381
"Toquima","Antone","AN03.2",188,224,122,0.710788343416617
"Toquima","Antone","AN04.1",158,224,122,0.710788343416617
"Shoshone","Barrett","BA01.1",210,112,60,0.724770642201835
