"range","area","pt","yr","occ","elev","burn","graze","hillshade","medwtpcp","medsppcp","medpropwtr"
"Monitor","Allison","AL14","2015",0,2285,0,1,225,117,55,0.733009708737864
"Monitor","Allison","AL15","2006",1,2325,0,1,230,133,60,0.733333333333333
"Monitor","Allison","AL16","2015",0,2394,0,1,223,133,60,0.733333333333333
"Monitor","Allison","AL17","2015",0,2487,0,1,214,133,60,0.733333333333333
"Monitor","Allison","AL18","2015",0,2397,0,1,179,133,60,0.733333333333333
"Monitor","Allison","AL19","2015",0,2280,0,1,211,112,52,0.73469387755102
"Monitor","Allison","AL20","2006",1,2227,0,1,206,112,52,0.73469387755102
"Monitor","Allison","AL21","2015",0,2209,0,1,201,112,52,0.73469387755102
"Monitor","Allison","AL22","2015",0,2179,0,1,203,112,52,0.73469387755102
"Toquima","Antone","AN01.1","2013",1,2403,0,1,216,176.5,92.5,0.717783052039381
"Toquima","Antone","AN01.2","2006",1,2425,0,1,204,176.5,92.5,0.717783052039381
"Toquima","Antone","AN01.3","2015",0,2450,0,1,204,176.5,92.5,0.717783052039381
"Toquima","Antone","AN02.1","2006",1,2486,0,1,202,176.5,92.5,0.717783052039381
"Toquima","Antone","AN02.2","2006",1,2518,0,1,208,176.5,92.5,0.717783052039381
"Toquima","Antone","AN03.1","2006",1,2604,0,1,193,176.5,92.5,0.717783052039381
"Toquima","Antone","AN03.2","2015",0,2658,0,1,188,224,122,0.710788343416617
"Toquima","Antone","AN04.1","2013",1,2735,0,1,158,224,122,0.710788343416617
"Shoshone","Barrett","BA01.1","2006",1,2156,0,1,210,112,60,0.724770642201835
"Shoshone","Barrett","BA01.2","2006",1,2180,0,1,219,112,60,0.724770642201835
"Shoshone","Barrett","BA02.1","2012",1,2263,0,1,219,112,60,0.724770642201835
"Shoshone","Barrett","BA02.2","2006",1,2282,0,1,199,112,60,0.724770642201835
"Shoshone","Barrett","BA03.1","2006",1,2364,0,1,209,157,80,0.730232558139535
"Shoshone","Barrett","BA03.2","2006",1,2395,0,1,205,157,80,0.730232558139535
"Shoshone","Barrett","BA04.1","2006",1,2455,0,1,233,157,80,0.730232558139535
"Shoshone","Barrett","BA04.2","2012",1,2468,0,1,179,157,80,0.730232558139535
"Shoshone","Barrett","BA05.1","2006",1,2518,0,1,196,157,80,0.730232558139535
"Shoshone","Barrett","BA05.2","2006",1,2554,0,1,196,157,80,0.730232558139535
"Shoshone","Barrett","BA06.1","2006",1,2640,0,1,155,142,73,0.726591760299625
"Shoshone","Barrett","BA06.2","2006",1,2679,0,1,153,142,73,0.726591760299625
"Shoshone","Becker","BE01.1","2006",1,2166,0,1,163,76,28,0.695652173913043
"Shoshone","Becker","BE01.2","2006",1,2188,0,1,197,76,28,0.695652173913043
"Shoshone","Becker","BE02.1","2006",1,2241,0,1,187,146,55,0.738219895287958
"Shoshone","Becker","BE02.2","2006",1,2248,0,1,228,146,55,0.738219895287958
"Shoshone","Becker","BE03.1","2013",0,2359,0,1,191,146,55,0.738219895287958
"Shoshone","Becker","BE03.2","2013",0,2373,0,1,154,146,55,0.738219895287958
"Toiyabe","Birch","BI01.1","2006",1,1966,0,1,197,105,60,0.720588235294118
"Toiyabe","Birch","BI01.2","2006",1,1991,0,1,229,105,60,0.720588235294118
"Toiyabe","Birch","BI02.1","2006",1,2058,0,1,216,236,100,0.726153846153846
"Toiyabe","Birch","BI02.2","2006",1,2105,0,1,111,236,100,0.726153846153846
"Toiyabe","Birch","BI03.1","2006",1,2122,0,1,252,236,100,0.726153846153846
"Toiyabe","Birch","BI03.2","2006",1,2153,0,1,227,214,100,0.727891156462585
"Toiyabe","Birch","BI03.3","2006",1,2158,0,1,221,202.5,96.5,0.729845961373055
"Toiyabe","Birch","BI04.1","2006",1,2211,0,1,234,214,100,0.727891156462585
"Toiyabe","Birch","BI04.2","2006",1,2231,0,1,239,214,100,0.727891156462585
"Toiyabe","Birch","BI04.3","2006",1,2324,0,1,208,214,100,0.727891156462585
"Toiyabe","Birch","BI05.1","2006",1,2376,0,1,243,202.5,96.5,0.729845961373055
"Toiyabe","Birch","BI05.2","2006",1,2410,0,1,191,202.5,96.5,0.729845961373055
"Toiyabe","Birch","BI06.1","2006",1,2484,0,1,197,202.5,96.5,0.729845961373055
"Toiyabe","Birch","BI06.2","2012",1,2524,0,1,214,202.5,96.5,0.729845961373055
"Toiyabe","Birch","BI07.1","2012",1,2555,0,1,237,177.5,87,0.729822784810127
"Toiyabe","Birch","BI07.2","2012",1,2586,0,1,185,177.5,87,0.729822784810127
"Toiyabe","Birch","BI0B1","2008",1,1900,1,1,206,132,60,0.720588235294118
"Toiyabe","Birch","BI0B2","2008",1,1920,1,1,205,132,60,0.720588235294118
"Toiyabe","Birch","BI0B3","2008",1,1929,1,1,208,132,60,0.720588235294118
"Toiyabe","Birch","BI0B4","2008",1,1960,1,1,227,132,60,0.720588235294118
"Toiyabe","Birch","BISG01","2011",1,1923,1,1,220,164,60,0.720588235294118
"Toiyabe","Birch","BISG02","2011",1,1919,1,1,234,164,60,0.720588235294118
"Toiyabe","Birch","BISG03","2011",1,1905,1,1,205,164,60,0.720588235294118
"Toiyabe","Birch","BISG04","2011",1,1904,1,1,188,164,60,0.720588235294118
"Toiyabe","Birch","BISG05","2011",1,1898,1,1,215,164,60,0.720588235294118
"Toiyabe","Birch","BISG06","2011",1,1894,1,1,206,164,60,0.720588235294118
"Toiyabe","Birch","BISG07","2011",1,1894,1,1,204,164,60,0.720588235294118
"Toiyabe","Birch","BISG08","2011",1,1886,1,1,206,164,60,0.720588235294118
"Monitor","Barley","BL01","2013",1,2249,0,1,214,110,36,0.735294117647059
"Monitor","Barley","BL02","2015",0,2240,0,1,247,110,36,0.735294117647059
"Monitor","Barley","BL03","2013",1,2225,0,1,210,110,36,0.735294117647059
"Monitor","Barley","BL04","2013",1,2241,0,1,214,165,55,0.744186046511628
"Monitor","Barley","BL05","2013",1,2245,0,1,218,165,55,0.744186046511628
"Monitor","Barley","BL06","2015",0,2256,0,1,215,165,55,0.744186046511628
"Monitor","Barley","BL07","2015",0,2258,0,1,217,165,55,0.744186046511628
"Monitor","Barley","BL08","2012",1,2275,0,1,221,165,55,0.744186046511628
"Monitor","Barley","BL09","2008",1,2283,0,1,220,165,55,0.744186046511628
"Monitor","Barley","BL10","2015",0,2309,0,1,209,165,55,0.744186046511628
"Monitor","Barley","BL11","2013",1,2318,0,1,205,165,55,0.744186046511628
"Monitor","Barley","BL12","2008",1,2345,0,1,229,216,69,0.756183745583039
"Monitor","Barley","BL13","2012",1,2359,0,1,178,216,69,0.756183745583039
"Monitor","Barley","BL14","2013",1,2376,0,1,222,216,69,0.756183745583039
"Monitor","Barley","BL15","2013",1,2389,0,1,246,216,69,0.756183745583039
"Monitor","Barley","BL16","2015",0,2398,0,1,190,215,64.5,0.776615858031372
