"range","area","pt","yr","occ","elev","graze","hillshade","medwtpcp","medsppcp","medpropwtr"
"Monitor","Allison","AL14","2015",0,2285,1,225,117,55,0.733009708737864
"Monitor","Allison","AL15","2006",1,2325,1,230,133,60,0.733333333333333
"Monitor","Allison","AL16","2015",0,2394,1,223,133,60,0.733333333333333
"Monitor","Allison","AL17","2015",0,2487,1,214,133,60,0.733333333333333
"Monitor","Allison","AL18","2015",0,2397,1,179,133,60,0.733333333333333
"Monitor","Allison","AL19","2015",0,2280,1,211,112,52,0.73469387755102
"Monitor","Allison","AL20","2006",1,2227,1,206,112,52,0.73469387755102
"Monitor","Allison","AL21","2015",0,2209,1,201,112,52,0.73469387755102
"Monitor","Allison","AL22","2015",0,2179,1,203,112,52,0.73469387755102
"Toquima","Antone","AN01.1","2013",1,2403,1,216,176.5,92.5,0.717783052039381
"Toquima","Antone","AN01.2","2006",1,2425,1,204,176.5,92.5,0.717783052039381
"Toquima","Antone","AN01.3","2015",0,2450,1,204,176.5,92.5,0.717783052039381
"Toquima","Antone","AN02.1","2006",1,2486,1,202,176.5,92.5,0.717783052039381
"Toquima","Antone","AN02.2","2006",1,2518,1,208,176.5,92.5,0.717783052039381
"Toquima","Antone","AN03.1","2006",1,2604,1,193,176.5,92.5,0.717783052039381
"Toquima","Antone","AN03.2","2015",0,2658,1,188,224,122,0.710788343416617
"Toquima","Antone","AN04.1","2013",1,2735,1,158,224,122,0.710788343416617
"Shoshone","Barrett","BA01.1","2006",1,2156,1,210,112,60,0.724770642201835
"Shoshone","Barrett","BA01.2","2006",1,2180,1,219,112,60,0.724770642201835
"Shoshone","Barrett","BA02.1","2012",1,2263,1,219,112,60,0.724770642201835
"Shoshone","Barrett","BA02.2","2006",1,2282,1,199,112,60,0.724770642201835
"Shoshone","Barrett","BA03.1","2006",1,2364,1,209,157,80,0.730232558139535
"Shoshone","Barrett","BA03.2","2006",1,2395,1,205,157,80,0.730232558139535
"Shoshone","Barrett","BA04.1","2006",1,2455,1,233,157,80,0.730232558139535
"Shoshone","Barrett","BA04.2","2012",1,2468,1,179,157,80,0.730232558139535
"Shoshone","Barrett","BA05.1","2006",1,2518,1,196,157,80,0.730232558139535
"Shoshone","Barrett","BA05.2","2006",1,2554,1,196,157,80,0.730232558139535
"Shoshone","Barrett","BA06.1","2006",1,2640,1,155,142,73,0.726591760299625
"Shoshone","Barrett","BA06.2","2006",1,2679,1,153,142,73,0.726591760299625
"Shoshone","Becker","BE01.1","2006",1,2166,1,163,76,28,0.695652173913043
"Shoshone","Becker","BE01.2","2006",1,2188,1,197,76,28,0.695652173913043
