"range","area","pt","brte","nsamp","elev","pgraze","tburn","pgrassf","sppr","wtpr","propwtr","tburn2","hillshade","medwtpcp","medsppcp","medpropwtr"
"Shoshone","Underdown","Low.Burned.M.1",3,30,2092.9,0,0,0.6,77.73,96.52,0.553916786226686,0,158,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.2",1,30,2092.2,0,0,0.466666666666667,77.73,96.52,0.553916786226686,0,176,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.3",3,30,2085.7,0,0,0.5,77.73,96.52,0.553916786226686,0,183,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Mid.Burned.E.1",16,30,2234.2,0,0,0.866666666666667,122.17,150.63,0.55216275659824,0,198,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.2",2,30,2239.7,0,0,0.7,122.17,150.63,0.55216275659824,0,200,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.3",4,30,2236.9,0,0,0.933333333333333,122.17,150.63,0.55216275659824,0,195,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.1",3,30,2215.5,0,0,0.666666666666667,122.17,150.63,0.55216275659824,0,193,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.2",0,30,2215.5,0,0,0.0333333333333333,122.17,150.63,0.55216275659824,0,206,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.3",1,30,2223.4,0,0,0.333333333333333,122.17,150.63,0.55216275659824,0,188,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.1",1,30,2228.7,0,0,0.4,122.17,150.63,0.55216275659824,0,196,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.2",5,30,2234.9,0,0,0.833333333333333,122.17,150.63,0.55216275659824,0,200,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.3",1,30,2232.5,0,0,0.4,122.17,150.63,0.55216275659824,0,198,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Low.Burned.M.1",2,30,2092.9,0,1,0.666666666666667,49.53,69.85,0.585106382978723,1,158,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.2",3,30,2092.2,0,1,0.633333333333333,49.53,69.85,0.585106382978723,1,176,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.3",5,30,2085.7,0,1,0.6,49.53,69.85,0.585106382978723,1,183,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Mid.Burned.E.1",23,30,2234.2,0,1,1,78.48,128.53,0.620887879812569,1,198,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.2",5,30,2239.7,0,1,0.9,78.48,128.53,0.620887879812569,1,200,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.3",9,30,2236.9,0,1,0.966666666666667,78.48,128.53,0.620887879812569,1,195,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.1",7,30,2215.5,0,1,0.833333333333333,78.48,128.53,0.620887879812569,1,193,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.2",0,30,2215.5,0,1,0.166666666666667,78.48,128.53,0.620887879812569,1,206,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.3",1,30,2223.4,0,1,0.5,78.48,128.53,0.620887879812569,1,188,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.1",7,30,2228.7,0,1,0.466666666666667,78.48,128.53,0.620887879812569,1,196,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.2",8,30,2234.9,0,1,0.866666666666667,78.48,128.53,0.620887879812569,1,200,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.M.3",2,30,2232.5,0,1,0.6,78.48,128.53,0.620887879812569,1,198,169.17,81.91,0.678473507221412
"Shoshone","Underdown","UN02.2",11,31,2147,1,4,0.380952380952381,85,238,0.736842105263158,16,220,152,81.5,0.721988165680473
"Shoshone","Underdown","UN03.1",6,31,2207,1,4,0.714285714285714,85,238,0.736842105263158,16,213,152,81.5,0.721988165680473
"Shoshone","Underdown","UN03.2",13,31,2246,1,1,0.714285714285714,85,238,0.736842105263158,1,210,152,81.5,0.721988165680473
"Shoshone","Underdown","Low.Burned.M.1",2,30,2092.9,0,3,0.566666666666667,63.5,141.23,0.689835392956577,9,158,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.2",12,30,2092.2,0,3,0.766666666666667,63.5,141.23,0.689835392956577,9,176,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Low.Burned.M.3",21,30,2085.7,0,3,0.466666666666667,63.5,141.23,0.689835392956577,9,183,106.805,56.515,0.63747088796765
"Shoshone","Underdown","Mid.Burned.E.1",24,30,2234.2,0,3,0.7,85.34,237.99,0.736059134630254,9,198,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.2",12,30,2239.7,0,3,0.766666666666667,85.34,237.99,0.736059134630254,9,200,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.E.3",13,30,2236.9,0,3,0.8,85.34,237.99,0.736059134630254,9,195,169.17,81.91,0.678473507221412
"Shoshone","Underdown","Mid.Burned.L.1",10,30,2215.5,0,3,0.8,85.34,237.99,0.736059134630254,9,193,169.17,81.91,0.678473507221412
