,mean,se_mean,sd,10%,50%,90%,n_eff,Rhat
Elevation,0.03,0.00,0.04,-0.02,0.03,0.07,4000.00,1.00
Hillshade,-0.08,0.00,0.02,-0.11,-0.08,-0.05,4000.00,1.00
Med. Winter Precip.,0.15,0.00,0.03,0.11,0.15,0.19,4000.00,1.00
Med. Winter precip./Total precip.,-0.18,0.00,0.04,-0.22,-0.18,-0.13,4000.00,1.00
Burned,2.69,0.00,0.06,2.61,2.69,2.78,4000.00,1.00
Grazed,0.47,0.00,0.03,0.42,0.46,0.51,4000.00,1.00
Perennial grass frequency,-0.08,0.00,0.03,-0.11,-0.08,-0.05,4000.00,1.00
Spring precip.,-0.31,0.00,0.08,-0.41,-0.31,-0.21,1559.27,1.00
Winter precip.,0.27,0.00,0.07,0.18,0.27,0.35,1618.78,1.00
Winter precip./Total precip.,-0.27,0.00,0.07,-0.36,-0.27,-0.18,1591.54,1.00
